Product_Name,Brand,MRP,Sale_Price,Discount (%),Rating,Reviews_Count,Category,Stock_Status,Discount_Amount
Kay Beauty x Falguni Shane Peacock Luxe Matte Lipstick - Ran...,Kay,1799,1799,0,3.8,374,Makeup,In Stock,0
"Swiss Beauty Cream It Up Blusher With Shea Butter , Multi-Fu...",Swiss,284,269.8,5,4,9907,Makeup,In Stock,14.2
Nykaa Ultra Silk Hydrating Satin Creme Glitter Lipstick with...,Nykaa,629,566.1,10,3.8,456,Makeup,In Stock,62.9
Clinique Almost Lip Balm Lipstick,Clinique,2300,2300,0,4,4632,Makeup,In Stock,0
DIOR Addict 24H Hydration Plumping Gloss Lip Maximizer,DIOR,4300,4300,0,3.8,383,Makeup,In Stock,0
Pilgrim Matte Me Up Intense Colour Transferproof & Smudgepro...,Pilgrim,446,334.5,25,4,1222,Makeup,In Stock,111.5
MARS Matte Lip Liner Pack of 10,MARS,649,610.06,6,4,3690,Makeup,In Stock,38.94
M.A.C Powder Kiss Hazy Matte Lipstick,M.A.C,2800,2800,0,3.8,50,Makeup,In Stock,0
"Lovechild Masaba Skip Everything Serum Skin Tint SPF 20, Liq...",Lovechild,1280,1024,20,3.8,677,Makeup,In Stock,256
SUGAR Matte Attack Transferproof Lipstick,SUGAR,637,541.45,15,4.1,34797,Makeup,In Stock,95.55
Love Earth Liquid Mousse Matte Lipstick - Pack of 9,Love,699,244.65,65,4.1,27415,Makeup,In Stock,454.35
Sotrue Strobe Illuminating Cream + Moisturizer With Hyaluron...,Sotrue,300,258,14,4.1,11565,Makeup,In Stock,42
"PAC Lash Fixer Eyelash Adhesive Transparent - 24H Hold, Quic...",PAC,491,441.9,10,4.1,13224,Makeup,In Stock,49.1
"Insight Cosmetics Banana Loose Powder, Oil Control Formula, ...",Insight,228,216.6,5,4.1,25005,Makeup,In Stock,11.4
Estee Lauder Double Wear Travel Size Stay-In-Place Longwear ...,Estee,2300,2300,0,4.1,14619,Makeup,In Stock,0
Maybelline New York Lifter Liner Lip Liner Pencil With Hyalu...,Maybelline,539,485.1,10,3.8,360,Makeup,In Stock,53.9
MARS Popstar Non Drying Liquid Mousse Lipstick,MARS,244,239.12,2,4,4111,Makeup,In Stock,4.88
Renee Cosmetics Browfill Micro Pen,Renee,399,355.11,11,3.8,539,Makeup,In Stock,43.89
Too Faced Better Than Sex Mascara - Black,Too,1550,1550,0,4,9843,Makeup,In Stock,0
Huda Beauty Easy Bake Loose Powder,Huda,3250,3250,0,4,9313,Makeup,In Stock,0
"L'Oreal Paris Infallible Laque Resistance Liquid Lipstick, 1...",L'Oreal,749,561.75,25,3.8,423,Makeup,In Stock,187.25
Nykaa Cosmetics X Bridgerton Nail Polish,Nykaa,349,349,0,3.8,226,Makeup,In Stock,0
Bobbi Brown 24 Hour Waterproof Kajal Liner,Bobbi,1200,1200,0,4,2542,Makeup,In Stock,0
Shopaarel Cover All Concealer Palette,Shopaarel,1484,1335.6,10,3.8,252,Makeup,In Stock,148.4
Tulips 50 Round Facial Cotton Pads For Applying & Removing M...,Tulips,88,81.84,7,4.1,45646,Makeup,In Stock,6.16
M.A.C In Extreme Dimension 24Hr Waterproof & Smudgeproof Kaj...,M.A.C,900,900,0,4.1,10683,Makeup,In Stock,0
"Lakme Forever Matte Face Powder, Matte Finish, Oil Control, ...",Lakme,238,226.1,5,4.5,136221,Makeup,In Stock,11.9
Love Earth Liquid Mousse Matte Lipstick,Love,250,87.5,65,4,3350,Makeup,In Stock,162.5
Recode Perfect Grip Waterproof Primer,Recode,629,566.1,10,4,1069,Makeup,In Stock,62.9
Nykaa Cosmetics Magic Cover Full Coverage Matte Cushion Foun...,Nykaa,674,606.6,10,3.8,235,Makeup,In Stock,67.4
MARS Tools Of Titan Brush With Holder - Pack Of 8,MARS,1091,992.81,9,4,1916,Makeup,In Stock,98.19
The Ordinary Multi-Peptide Lash And Brow Serum,The,1600,1600,0,4,1567,Makeup,In Stock,0
Kay Beauty Jelly Lip & Cheek Popsicle Wand,Kay,1199,1199,0,3.8,609,Makeup,In Stock,0
M.A.C Strobe Cream Illuminating Moisturizer & Liquid Highlig...,M.A.C,4200,4200,0,4.1,33426,Makeup,In Stock,0
Nykaa Glitter Nail Enamel,Nykaa,212,180.2,15,4.1,10622,Makeup,In Stock,31.8
MARS Queen Of Mattes Reds & Maroons Liquid Lipsticks,MARS,479,459.84,4,4,1423,Makeup,In Stock,19.16
Anastasia Beverly Hills Lip Velvet Lipstick,Anastasia,2240,1568,30,3.8,265,Makeup,In Stock,672
"Insight Cosmetics Long Wear Color Rich Lip Gloss, Moisturisi...",Insight,107,103.79,3,4.3,61179,Makeup,In Stock,3.21
Faces Canada Ultime Pro Intense Gel Kajal With Smudger & Sha...,Faces,449,350.22,22,4.1,37809,Makeup,In Stock,98.78
Nykaa Matte Luxe Lipstick,Nykaa,552,358.8,35,4.5,194974,Makeup,In Stock,193.2
